survived,pclass,sex,age,sibsp,parch,fare
survived,3rd,female,30,0,0,12.475
died,3rd,female,24,0,0,7.75
survived,3rd,female,23,0,0,8.05
died,3rd,male,33,0,0,7.8958
died,3rd,male,65,0,0,7.75
survived,3rd,male,24,0,0,7.55
died,3rd,male,23,1,0,13.9
survived,3rd,female,22,1,0,13.9
died,3rd,male,18,0,0,7.775
died,3rd,male,16,0,0,7.775
died,3rd,male,45,0,0,6.975
died,3rd,male,NA,0,0,7.225
died,3rd,male,39,0,2,7.2292
died,3rd,male,17,1,1,7.2292
died,3rd,male,15,1,1,7.2292
died,3rd,male,47,0,0,7.25
survived,3rd,female,5,0,0,12.475
died,3rd,male,NA,0,0,7.225
died,3rd,male,40.5,0,0,15.1
died,3rd,male,40.5,0,0,7.75
survived,3rd,male,NA,0,0,7.05
died,3rd,male,18,0,0,7.7958
died,3rd,female,NA,0,0,7.75
died,3rd,male,NA,0,0,7.75
died,3rd,male,NA,0,0,6.95
died,3rd,male,26,0,0,7.8792
died,3rd,male,NA,0,0,7.75
survived,3rd,male,NA,0,0,56.4958
died,3rd,female,21,2,2,34.375
died,3rd,female,9,2,2,34.375
died,3rd,male,NA,0,0,8.05
died,3rd,male,18,2,2,34.375
died,3rd,male,16,1,3,34.375
died,3rd,female,48,1,3,34.375
died,3rd,male,NA,0,0,7.75
died,3rd,male,NA,0,0,7.25
died,3rd,male,25,0,0,7.7417
died,3rd,male,NA,0,0,14.5
died,3rd,male,NA,0,0,7.8958
died,3rd,male,22,0,0,8.05
survived,3rd,female,16,0,0,7.7333
survived,3rd,female,NA,0,0,7.75
survived,3rd,male,9,0,2,20.525
died,3rd,male,33,1,1,20.525
died,3rd,male,41,0,0,7.85
survived,3rd,female,31,1,1,20.525
died,3rd,male,38,0,0,7.05
died,3rd,male,9,5,2,46.9
died,3rd,male,1,5,2,46.9
died,3rd,male,11,5,2,46.9
died,3rd,female,10,5,2,46.9
died,3rd,female,16,5,2,46.9
died,3rd,male,14,5,2,46.9
died,3rd,male,40,1,6,46.9
died,3rd,female,43,1,6,46.9
died,3rd,male,51,0,0,8.05
died,3rd,male,32,0,0,8.3625
died,3rd,male,NA,0,0,8.05
died,3rd,male,20,0,0,9.8458
died,3rd,male,37,2,0,7.925
died,3rd,male,28,2,0,7.925
died,3rd,male,19,0,0,7.775
died,3rd,female,24,0,0,8.85
died,3rd,female,17,0,0,7.7333
died,3rd,male,NA,1,0,19.9667
died,3rd,male,NA,1,0,19.9667
died,3rd,male,28,1,0,15.85
survived,3rd,female,24,1,0,15.85
died,3rd,male,20,0,0,9.5
died,3rd,male,23.5,0,0,7.2292
died,3rd,male,41,2,0,14.1083
died,3rd,male,26,1,0,7.8542
died,3rd,male,21,0,0,7.8542
survived,3rd,female,45,1,0,14.1083
died,3rd,female,NA,0,0,7.55
died,3rd,male,25,0,0,7.25
died,3rd,male,NA,0,0,6.8583
died,3rd,male,11,0,0,18.7875
survived,3rd,female,NA,0,0,7.75
survived,3rd,male,27,0,0,6.975
survived,3rd,male,NA,0,0,56.4958
died,3rd,female,18,0,0,6.75
survived,3rd,female,26,0,0,7.925
died,3rd,female,23,0,0,7.925
survived,3rd,female,22,0,0,8.9625
died,3rd,male,28,0,0,7.8958
died,3rd,female,28,0,0,7.775
died,3rd,female,NA,0,0,7.75
survived,3rd,female,2,0,1,12.2875
survived,3rd,female,22,1,1,12.2875
died,3rd,male,43,0,0,6.45
died,3rd,male,28,0,0,22.525
survived,3rd,female,27,0,0,7.925
died,3rd,male,NA,0,0,7.75
survived,3rd,female,NA,0,0,8.05
died,3rd,male,42,0,0,7.65
survived,3rd,male,NA,0,0,7.8875
died,3rd,male,30,0,0,7.2292
died,3rd,male,NA,0,0,7.8958
died,3rd,female,27,1,0,7.925
died,3rd,female,25,1,0,7.925
died,3rd,male,NA,0,0,7.8958
survived,3rd,male,29,0,0,7.8958
survived,3rd,male,21,0,0,7.7958
died,3rd,male,NA,0,0,7.05
died,3rd,male,20,0,0,7.8542
died,3rd,male,48,0,0,7.8542
died,3rd,male,17,1,0,7.0542
survived,3rd,female,NA,0,0,7.75
survived,3rd,male,NA,0,0,8.1125
died,3rd,male,34,0,0,6.4958
survived,3rd,male,26,0,0,7.775
died,3rd,male,22,0,0,7.7958
died,3rd,male,33,0,0,8.6542
died,3rd,male,31,0,0,7.775
died,3rd,male,29,0,0,7.8542
survived,3rd,male,4,1,1,11.1333
survived,3rd,female,1,1,1,11.1333
died,3rd,male,49,0,0,0
died,3rd,male,33,0,0,7.775
died,3rd,male,19,0,0,0
survived,3rd,female,27,0,2,11.1333
died,3rd,male,NA,1,2,23.45
died,3rd,female,NA,1,2,23.45
died,3rd,male,NA,1,2,23.45
died,3rd,female,NA,1,2,23.45
died,3rd,male,23,0,0,7.8958
survived,3rd,male,32,0,0,7.8542
died,3rd,male,27,0,0,7.8542
died,3rd,female,20,1,0,9.825
died,3rd,female,21,1,0,9.825
survived,3rd,male,32,0,0,7.925
died,3rd,male,17,0,0,7.125
died,3rd,male,21,0,0,8.4333
died,3rd,male,30,0,0,7.8958
survived,3rd,male,21,0,0,7.7958
died,3rd,male,33,0,0,7.8542
died,3rd,male,22,0,0,7.5208
survived,3rd,female,4,0,1,13.4167
survived,3rd,male,39,0,1,13.4167
died,3rd,male,NA,0,0,7.2292
died,3rd,male,18.5,0,0,7.2292
died,3rd,male,NA,0,0,7.75
died,3rd,male,NA,0,0,7.25
survived,3rd,female,NA,0,0,7.75
survived,3rd,female,NA,0,0,7.75
died,3rd,male,34.5,0,0,7.8292
died,3rd,male,44,0,0,8.05
survived,3rd,male,NA,0,0,7.75
died,3rd,male,NA,1,0,14.4542
died,3rd,female,NA,1,0,14.4542
died,3rd,male,NA,1,0,7.75
died,3rd,male,NA,1,0,7.75
died,3rd,male,NA,0,0,7.7375
died,3rd,female,22,2,0,8.6625
died,3rd,male,26,2,0,8.6625
survived,3rd,female,4,0,2,22.025
survived,3rd,male,29,3,1,22.025
survived,3rd,female,26,1,1,22.025
died,3rd,female,1,1,1,12.1833
died,3rd,male,18,1,1,7.8542
died,3rd,female,36,0,2,12.1833
died,3rd,male,NA,0,0,7.8958
survived,3rd,male,25,0,0,7.2292
died,3rd,male,NA,0,0,7.225
died,3rd,female,37,0,0,9.5875
died,3rd,male,NA,0,0,7.8958
survived,3rd,male,NA,0,0,56.4958
died,3rd,male,NA,0,0,56.4958
survived,3rd,female,22,0,0,7.25
died,3rd,male,NA,0,0,7.75
survived,3rd,male,26,0,0,56.4958
died,3rd,male,29,0,0,9.4833
died,3rd,male,29,0,0,7.775
died,3rd,male,22,0,0,7.775
survived,3rd,male,22,0,0,7.225
died,3rd,male,NA,3,1,25.4667
died,3rd,female,NA,3,1,25.4667
died,3rd,female,NA,3,1,25.4667
died,3rd,female,NA,3,1,25.4667
died,3rd,female,NA,0,4,25.4667
died,3rd,male,32,0,0,7.925
died,3rd,male,34.5,0,0,6.4375
died,3rd,female,NA,1,0,15.5
died,3rd,male,NA,1,0,15.5
died,3rd,male,36,0,0,0
died,3rd,male,39,0,0,24.15
died,3rd,male,24,0,0,9.5
died,3rd,female,25,0,0,7.775
died,3rd,female,45,0,0,7.75
died,3rd,male,36,1,0,15.55
died,3rd,female,30,1,0,15.55
survived,3rd,male,20,1,0,7.925
died,3rd,male,NA,0,0,7.8792
died,3rd,male,28,0,0,56.4958
died,3rd,male,NA,0,0,7.55
died,3rd,male,30,1,0,16.1
died,3rd,female,26,1,0,16.1
died,3rd,male,NA,0,0,7.8792
died,3rd,male,20.5,0,0,7.25
survived,3rd,male,27,0,0,8.6625
died,3rd,male,51,0,0,7.0542
survived,3rd,female,23,0,0,7.8542
survived,3rd,male,32,0,0,7.5792
died,3rd,male,NA,0,0,7.8958
died,3rd,male,NA,0,0,7.55
survived,3rd,female,NA,0,0,7.75
survived,3rd,male,24,0,0,7.1417
died,3rd,male,22,0,0,7.125
died,3rd,female,NA,0,0,7.8792
died,3rd,male,NA,0,0,7.75
died,3rd,male,NA,0,0,8.05
died,3rd,male,29,0,0,7.925
survived,3rd,male,NA,0,0,7.2292
died,3rd,female,30.5,0,0,7.75
survived,3rd,female,NA,0,0,7.7375
died,3rd,male,NA,0,0,7.2292
died,3rd,male,35,0,0,7.8958
died,3rd,male,33,0,0,7.8958
survived,3rd,female,NA,0,0,7.225
died,3rd,male,NA,0,0,7.8958
survived,3rd,female,NA,0,0,7.75
survived,3rd,male,NA,0,0,7.75
survived,3rd,female,NA,2,0,23.25
survived,3rd,female,NA,2,0,23.25
survived,3rd,male,NA,2,0,23.25
survived,3rd,female,NA,0,0,7.7875
died,3rd,male,NA,0,0,15.5
survived,3rd,female,NA,0,0,7.8792
survived,3rd,female,15,0,0,8.0292
died,3rd,female,35,0,0,7.75
died,3rd,male,NA,0,0,7.75
died,3rd,male,24,1,0,16.1
died,3rd,female,19,1,0,16.1
died,3rd,female,NA,0,0,7.75
died,3rd,female,NA,0,0,8.05
died,3rd,female,NA,0,0,8.05
died,3rd,male,55.5,0,0,8.05
died,3rd,male,NA,0,0,7.75
survived,3rd,male,21,0,0,7.775
died,3rd,male,NA,0,0,8.05
died,3rd,male,24,0,0,7.8958
died,3rd,male,21,0,0,7.8958
died,3rd,male,28,0,0,7.8958
died,3rd,male,NA,0,0,7.8958
survived,3rd,female,NA,0,0,7.8792
died,3rd,male,25,0,0,7.65
survived,3rd,male,6,0,1,12.475
survived,3rd,female,27,0,1,12.475
died,3rd,male,NA,0,0,8.05
survived,3rd,female,NA,1,0,24.15
died,3rd,male,NA,1,0,24.15
died,3rd,male,NA,0,0,8.4583
died,3rd,male,34,0,0,8.05
died,3rd,male,NA,0,0,7.75
survived,3rd,male,NA,0,0,7.775
survived,3rd,male,NA,1,1,15.2458
survived,3rd,male,NA,1,1,15.2458
survived,3rd,female,NA,0,2,15.2458
survived,3rd,female,NA,0,0,7.2292
died,3rd,male,NA,0,0,8.05
survived,3rd,female,NA,0,0,7.7333
survived,3rd,female,24,0,0,7.75
died,3rd,male,NA,0,0,8.05
survived,3rd,female,NA,1,0,15.5
survived,3rd,female,NA,1,0,15.5
survived,3rd,female,NA,0,0,15.5
died,3rd,male,18,0,0,7.75
died,3rd,male,22,0,0,7.8958
survived,3rd,female,15,0,0,7.225
survived,3rd,female,1,0,2,15.7417
survived,3rd,male,20,1,1,15.7417
survived,3rd,female,19,1,1,15.7417
died,3rd,male,33,0,0,8.05
died,3rd,male,NA,0,0,7.8958
died,3rd,male,NA,0,0,7.2292
died,3rd,female,NA,0,0,7.75
died,3rd,male,NA,0,0,7.8958
survived,3rd,male,12,1,0,11.2417
survived,3rd,female,14,1,0,11.2417
died,3rd,female,29,0,0,7.925
died,3rd,male,28,0,0,8.05
survived,3rd,female,18,0,0,7.775
survived,3rd,female,26,0,0,7.8542
died,3rd,male,21,0,0,7.8542
died,3rd,male,41,0,0,7.125
survived,3rd,male,39,0,0,7.925
died,3rd,male,21,0,0,7.8
died,3rd,male,28.5,0,0,7.2292
survived,3rd,female,22,0,0,7.75
died,3rd,male,61,0,0,6.2375
died,3rd,male,NA,1,0,15.5
died,3rd,male,NA,0,0,7.8292
survived,3rd,female,NA,1,0,15.5
died,3rd,male,NA,0,0,7.7333
died,3rd,male,NA,0,0,7.75
died,3rd,male,NA,0,0,7.75
died,3rd,male,23,0,0,9.225
died,3rd,female,NA,0,0,7.75
survived,3rd,female,NA,0,0,7.75
survived,3rd,female,NA,0,0,7.8792
survived,3rd,female,22,0,0,7.775
survived,3rd,male,NA,0,0,7.75
survived,3rd,female,NA,0,0,7.8292
survived,3rd,male,9,0,1,3.1708
died,3rd,male,28,0,0,22.525
died,3rd,male,42,0,1,8.4042
died,3rd,male,NA,0,0,7.3125
died,3rd,female,31,0,0,7.8542
died,3rd,male,28,0,0,7.8542
survived,3rd,male,32,0,0,7.775
died,3rd,male,20,0,0,9.225
died,3rd,female,23,0,0,8.6625
died,3rd,female,20,0,0,8.6625
died,3rd,male,20,0,0,8.6625
died,3rd,male,16,0,0,9.2167
survived,3rd,female,31,0,0,8.6833
died,3rd,female,NA,0,0,7.6292
died,3rd,male,2,3,1,21.075
died,3rd,male,6,3,1,21.075
died,3rd,female,3,3,1,21.075
died,3rd,female,8,3,1,21.075
died,3rd,female,29,0,4,21.075
died,3rd,male,1,4,1,39.6875
died,3rd,male,7,4,1,39.6875
died,3rd,male,2,4,1,39.6875
died,3rd,male,16,4,1,39.6875
died,3rd,male,14,4,1,39.6875
died,3rd,female,41,0,5,39.6875
died,3rd,male,21,0,0,8.6625
died,3rd,male,19,0,0,14.5
died,3rd,male,NA,0,0,8.7125
died,3rd,male,32,0,0,7.8958
died,3rd,male,0.75,1,1,13.775
died,3rd,female,3,1,1,13.775
died,3rd,female,26,0,2,13.775
died,3rd,male,NA,0,0,7
died,3rd,male,NA,0,0,7.775
died,3rd,male,NA,0,0,8.05
died,3rd,male,21,0,0,7.925
died,3rd,male,25,0,0,7.925
died,3rd,male,22,0,0,7.25
survived,3rd,male,25,1,0,7.775
survived,3rd,male,NA,1,1,22.3583
survived,3rd,female,NA,1,1,22.3583
survived,3rd,female,NA,0,2,22.3583
died,3rd,female,NA,0,0,8.1375
died,3rd,male,24,0,0,8.05
died,3rd,female,28,0,0,7.8958
died,3rd,male,19,0,0,7.8958
died,3rd,male,NA,0,0,7.8958
died,3rd,male,25,1,0,7.775
died,3rd,female,18,0,0,7.775
survived,3rd,male,32,0,0,8.05
died,3rd,male,NA,0,0,7.8958
died,3rd,male,17,0,0,8.6625
died,3rd,male,24,0,0,8.6625
died,3rd,male,NA,0,0,7.8958
died,3rd,female,NA,0,0,8.1125
died,3rd,male,NA,0,0,7.2292
died,3rd,male,NA,0,0,7.25
died,3rd,male,38,0,0,7.8958
died,3rd,male,21,0,0,8.05
died,3rd,male,10,4,1,29.125
died,3rd,male,4,4,1,29.125
died,3rd,male,7,4,1,29.125
died,3rd,male,2,4,1,29.125
died,3rd,male,8,4,1,29.125
died,3rd,female,39,0,5,29.125
died,3rd,female,22,0,0,39.6875
died,3rd,male,35,0,0,7.125
survived,3rd,female,NA,0,0,7.7208
died,3rd,male,NA,0,0,14.5
died,3rd,female,NA,0,0,14.5
died,3rd,male,50,1,0,14.5
died,3rd,female,47,1,0,14.5
died,3rd,male,NA,0,0,8.05
died,3rd,male,NA,0,0,7.775
died,3rd,female,2,1,1,20.2125
died,3rd,male,18,1,1,20.2125
died,3rd,female,41,0,2,20.2125
survived,3rd,female,NA,0,0,8.05
died,3rd,male,50,0,0,8.05
died,3rd,male,16,0,0,8.05
survived,3rd,male,NA,0,0,7.75
died,3rd,male,NA,0,0,24.15
died,3rd,male,NA,0,0,7.2292
died,3rd,male,25,0,0,7.225
died,3rd,male,NA,0,0,7.225
died,3rd,male,NA,0,0,7.7292
died,3rd,male,NA,0,0,7.575
died,3rd,male,38.5,0,0,7.25
died,3rd,male,NA,8,2,69.55
died,3rd,male,14.5,8,2,69.55
died,3rd,female,NA,8,2,69.55
died,3rd,female,NA,8,2,69.55
died,3rd,female,NA,8,2,69.55
died,3rd,female,NA,8,2,69.55
died,3rd,male,NA,8,2,69.55
died,3rd,male,NA,8,2,69.55
died,3rd,male,NA,8,2,69.55
died,3rd,male,NA,1,9,69.55
died,3rd,female,NA,1,9,69.55
died,3rd,male,24,0,0,9.325
survived,3rd,female,21,0,0,7.65
died,3rd,male,39,0,0,7.925
died,3rd,male,NA,2,0,21.6792
died,3rd,male,NA,2,0,21.6792
died,3rd,male,NA,2,0,21.6792
survived,3rd,female,1,1,1,16.7
survived,3rd,female,24,0,2,16.7
survived,3rd,female,4,1,1,16.7
survived,3rd,male,25,0,0,9.5
died,3rd,male,20,0,0,8.05
died,3rd,male,24.5,0,0,8.05
died,3rd,male,NA,0,0,7.725
died,3rd,male,NA,0,0,7.8958
died,3rd,male,NA,0,0,7.75
survived,3rd,male,29,0,0,9.5
died,3rd,male,NA,0,0,15.1
survived,3rd,female,NA,0,0,7.7792
died,3rd,male,NA,0,0,8.05
died,3rd,male,NA,0,0,8.05
died,3rd,male,22,0,0,7.2292
died,3rd,male,NA,0,0,8.05
died,3rd,male,40,0,0,7.8958
died,3rd,male,21,0,0,7.925
survived,3rd,female,18,0,0,7.4958
died,3rd,male,4,3,2,27.9
died,3rd,male,10,3,2,27.9
died,3rd,female,9,3,2,27.9
died,3rd,female,2,3,2,27.9
died,3rd,male,40,1,4,27.9
died,3rd,female,45,1,4,27.9
died,3rd,male,NA,0,0,7.8958
died,3rd,male,NA,0,0,8.05
died,3rd,male,NA,0,0,8.6625
died,3rd,male,NA,0,0,7.75
survived,3rd,female,NA,0,0,7.7333
died,3rd,male,19,0,0,7.65
died,3rd,male,30,0,0,8.05
died,3rd,male,NA,0,0,8.05
died,3rd,male,32,0,0,8.05
died,3rd,male,NA,0,0,7.8958
died,3rd,male,33,0,0,8.6625
survived,3rd,female,23,0,0,7.55
died,3rd,male,21,0,0,8.05
died,3rd,male,60.5,0,0,NA
died,3rd,male,19,0,0,7.8958
died,3rd,female,22,0,0,9.8375
survived,3rd,male,31,0,0,7.925
died,3rd,male,27,0,0,8.6625
died,3rd,female,2,0,1,10.4625
died,3rd,female,29,1,1,10.4625
survived,3rd,male,16,0,0,8.05
survived,3rd,male,44,0,0,7.925
died,3rd,male,25,0,0,7.05
died,3rd,male,74,0,0,7.775
survived,3rd,male,14,0,0,9.225
died,3rd,male,24,0,0,7.7958
survived,3rd,male,25,0,0,7.7958
died,3rd,male,34,0,0,8.05
survived,3rd,male,0.4167,0,1,8.5167
died,3rd,male,NA,1,0,6.4375
died,3rd,male,NA,0,0,6.4375
died,3rd,male,NA,0,0,7.225
survived,3rd,female,16,1,1,8.5167
died,3rd,male,NA,0,0,8.05
died,3rd,male,NA,1,0,16.1
survived,3rd,female,NA,1,0,16.1
died,3rd,male,32,0,0,7.925
died,3rd,male,NA,0,0,7.75
died,3rd,male,NA,0,0,7.8958
died,3rd,male,30.5,0,0,8.05
died,3rd,male,44,0,0,8.05
died,3rd,male,NA,0,0,7.2292
survived,3rd,male,25,0,0,0
died,3rd,male,NA,0,0,7.2292
survived,3rd,male,7,1,1,15.2458
survived,3rd,female,9,1,1,15.2458
survived,3rd,female,29,0,2,15.2458
died,3rd,male,36,0,0,7.8958
survived,3rd,female,18,0,0,9.8417
survived,3rd,female,63,0,0,9.5875
died,3rd,male,NA,1,1,14.5
died,3rd,male,11.5,1,1,14.5
died,3rd,male,40.5,0,2,14.5
died,3rd,female,10,0,2,24.15
died,3rd,male,36,1,1,24.15
died,3rd,female,30,1,1,24.15
died,3rd,male,NA,0,0,9.5
died,3rd,male,33,0,0,9.5
died,3rd,male,28,0,0,9.5
died,3rd,male,28,0,0,9.5
died,3rd,male,47,0,0,9
died,3rd,female,18,2,0,18
died,3rd,male,31,3,0,18
died,3rd,male,16,2,0,18
died,3rd,female,31,1,0,18
survived,3rd,male,22,0,0,7.225
died,3rd,male,20,0,0,7.8542
died,3rd,female,14,0,0,7.8542
died,3rd,male,22,0,0,7.8958
died,3rd,male,22,0,0,9
died,3rd,male,NA,0,0,8.05
died,3rd,male,NA,0,0,7.55
died,3rd,male,NA,0,0,8.05
died,3rd,male,32.5,0,0,9.5
survived,3rd,female,38,0,0,7.2292
died,3rd,male,51,0,0,7.75
died,3rd,male,18,1,0,6.4958
died,3rd,male,21,1,0,6.4958
survived,3rd,female,47,1,0,7
died,3rd,male,NA,0,0,8.7125
died,3rd,male,NA,0,0,7.55
died,3rd,male,NA,0,0,8.05
died,3rd,male,28.5,0,0,16.1
died,3rd,male,21,0,0,7.25
died,3rd,male,27,0,0,8.6625
died,3rd,male,NA,0,0,7.25
died,3rd,male,36,0,0,9.5
died,3rd,male,27,1,0,14.4542
survived,3rd,female,15,1,0,14.4542
died,3rd,male,45.5,0,0,7.225
died,3rd,male,NA,0,0,7.225
died,3rd,male,NA,0,0,14.4583
died,3rd,female,14.5,1,0,14.4542
died,3rd,female,NA,1,0,14.4542
died,3rd,male,26.5,0,0,7.225
died,3rd,male,27,0,0,7.225
died,3rd,male,29,0,0,7.875
